Time,D20000005F3B2021,350000005F3B4F21,0F0000005F3FC521,410000005F3DDC21,D80000005F3A6621,080000005F425421,D90000005F4C2121,F40000005F35A221,BE00000060221421,26000000602AAC21,2D0000005F283921*,850000005F3A4321,DC000000602FC921,E60000006044D921*,B30000005F44CD21,CD0000005F213721,4300000060332C21,89000000604AC021,FB0000005F4B5421,3A0000005F337B21,410000005F3FEE21,470000005F2A2F21,72000000604B4421,AE00000060429121,2.3E+15,8F00000060457221,180000005F39BB21,C70000005F33D321,010000005F26E421,F20000005F4CD221,2.8E+15,53000000602AEC21,F10000005F38B421,100000005F577421,3C0000005ACE6221,1A0000005AAB1E21,4C0000005AADB721,C20000005AC69421,B10000005A9FAF21,780000005ABF9B21,EA0000005AB8FB21,FC0000005AADA221,500000005AA92121,AC0000005AC2F221,8F0000005AB7A421,A60000005AAC2E21,C10000005AAFCE21,930000005AAC3C21,E30000005AB0FA21,1B0000005AC40121,4D0000005AAF0021,3D0000005AC16021,7E0000005AB21B21,080000005AC34021,040000005AB94421,A40000005ACF0B21,E70000005ABD6921,EF0000005AB7DF21,D70000005AC83121,C60000005AB9A121,630000005AB43A21,1B0000005AB58C21,1E0000005AAB3821,9D0000005ACF7321,1B0000005AAA8221,B00000005AC12B21,9E0000005AC9B321*,080000005AA62021,750000005AC9B621,050000005AAD2C21,850000005AA12421,580000005AC97021,4A0000005F402721,F70000005F327B21,EF00000060272621,550000006034CE21,AE0000005AAC6221,B70000005AA94E21,F70000005AC90121,250000005AC5D021,380000005F4F5021,8F0000005F592A21,920000005F3D2421,570000005F261B21,340000005F531F21,E00000005F458821,C20000005AC2F021,D00000005A9E4821,070000005F3CA221,660000005F383821,AB0000006034F021,E5000000602FB121,2A0000005AB2F721,780000005AB64A21,B70000005ABF9121,E90000005AC54C21,CB0000005ACF8C21*,D20000005F3B2021,350000005F3B4F21,0F0000005F3FC521,410000005F3DDC21,D80000005F3A6621,080000005F425421,D90000005F4C2121,F40000005F35A221,BE00000060221421,26000000602AAC21,2D0000005F283921*,850000005F3A4321,DC000000602FC921,E60000006044D921*,B30000005F44CD21,CD0000005F213721,4300000060332C21,89000000604AC021,FB0000005F4B5421,3A0000005F337B21,410000005F3FEE21,470000005F2A2F21,72000000604B4421,AE00000060429121,2.3E+15,8F00000060457221,180000005F39BB21,C70000005F33D321,010000005F26E421,F20000005F4CD221,2.8E+15,53000000602AEC21,F10000005F38B421,100000005F577421,3C0000005ACE6221,1A0000005AAB1E21,4C0000005AADB721,C20000005AC69421,B10000005A9FAF21,780000005ABF9B21,EA0000005AB8FB21,FC0000005AADA221,500000005AA92121,AC0000005AC2F221,8F0000005AB7A421,A60000005AAC2E21,C10000005AAFCE21,930000005AAC3C21,E30000005AB0FA21,1B0000005AC40121,4D0000005AAF0021,3D0000005AC16021,7E0000005AB21B21,080000005AC34021,040000005AB94421,A40000005ACF0B21,E70000005ABD6921,EF0000005AB7DF21,D70000005AC83121,C60000005AB9A121,630000005AB43A21,1B0000005AB58C21,1E0000005AAB3821,9D0000005ACF7321,1B0000005AAA8221,B00000005AC12B21,9E0000005AC9B321*,080000005AA62021,750000005AC9B621,050000005AAD2C21,850000005AA12421,580000005AC97021,4A0000005F402721,F70000005F327B21,EF00000060272621,550000006034CE21,AE0000005AAC6221,B70000005AA94E21,F70000005AC90121,250000005AC5D021,380000005F4F5021,8F0000005F592A21,920000005F3D2421,570000005F261B21,340000005F531F21,E00000005F458821,C20000005AC2F021,D00000005A9E4821,070000005F3CA221,660000005F383821,AB0000006034F021,E5000000602FB121,2A0000005AB2F721,780000005AB64A21,B70000005ABF9121,E90000005AC54C21,CB0000005ACF8C21*
6/1/2024 11:30,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22.5,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22.5,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5
6/1/2024 11:35,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22.5,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,22.5,22,22.5,22.5,23,22.5,22,22,22,22.5,23,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22.5,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,22.5,22,22.5,22.5,23,22.5,22,22,22,22.5,23,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5
6/1/2024 11:40,22.5,22.5,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,23,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,23,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5
6/1/2024 11:45,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,23,22.5,22.5,23,22,22.5,23,22.5,22,22.5,22.5,23,22.5,22,22,22,22.5,23,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,23,22.5,22.5,23,22,22.5,23,22.5,22,22.5,22.5,23,22.5,22,22,22,22.5,23,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5
6/1/2024 11:50,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5
6/1/2024 11:55,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,23,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,23,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5
6/1/2024 12:00,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22.5,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22.5,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5
6/1/2024 12:05,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,22.5,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,22.5,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5
6/1/2024 12:10,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22.5,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,22.5,22,22.5,22.5,23,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22.5,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,23,22.5,22.5,23,22,22.5,23,22.5,22,22.5,22.5,23,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22.5
6/1/2024 12:15,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,23,22.5,22.5,22.5,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,23,22.5,22.5,22.5,22,22.5,23,23,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22.5
6/1/2024 12:20,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22
6/1/2024 12:25,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,23,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,23,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22
6/1/2024 12:30,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,21.5,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22
6/1/2024 12:35,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,21.5,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22,22.5,22,22,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,21.5,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22,22.5,22,22
6/1/2024 12:40,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22,22.5,22.5,22,22.5,21.5,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22,21.5,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22,22.5,22,22,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22,22.5,22.5,22,22.5,21.5,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22,21.5,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22,22.5,22,22
6/1/2024 12:45,22,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22,22,22,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22,22
6/1/2024 12:50,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22.5,22
6/1/2024 12:55,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,21.5,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22,22,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22.5,22.5,22,22.5,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,21.5,22,22.5,22.5,22.5,22.5,22,22.5,23,22.5,22,22.5,22.5,22.5,22.5,22,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22.5,22.5,22,22
6/1/2024 13:00,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22,22.5,22,22.5,22,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22,22,22.5,22,22.5,22,22.5,22.5,22,22.5,22,NA,22,22.5,22,22,22.5,22,22.5,22,22,22,22,22,22,22,22,22,22.5,22.5,22.5,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,22,22,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22,22.5,23,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22,22.5,22,22,22,22.5,22.5,22,22,22,22.5,22.5,22.5,22.5,22,22,22,22.5,22.5,22,22.5,22.5,22.5,22,22,22,22.5,22,22.5,22,22
